template_id,src_cat,src_aspect,predicate,tgt_cat,tgt_aspect
t0001,ontology class,,superclass of,attribute,
t0002,ontology class,,superclass of,relationship type,
t0003,ontology class,,superclass of,taxonomic rank,
t0004,ontology class,,subclass of,attribute,
t0005,ontology class,,subclass of,relationship type,
t0006,ontology class,,subclass of,taxonomic rank,
t0007,ontology class,,is molecular consequence of,,
t0008,attribute,,related to,attribute,
t0009,attribute,,related to,organism taxon,
t0010,attribute,,related to,event,
t0011,attribute,,associated with,attribute,
t0012,attribute,,associated with,organism taxon,
t0013,attribute,,associated with,event,
t0014,attribute,,superclass of,attribute,
t0015,attribute,,superclass of,relationship type,
t0016,attribute,,superclass of,taxonomic rank,
t0017,attribute,,subclass of,attribute,
t0018,attribute,,subclass of,relationship type,
t0019,attribute,,subclass of,taxonomic rank,
t0020,attribute,,assesses,attribute,
t0021,attribute,,assesses,organism taxon,
t0022,attribute,,assesses,event,
t0023,attribute,,is assessed by,attribute,
t0024,attribute,,is assessed by,organism taxon,
t0025,attribute,,is assessed by,event,
t0026,attribute,,interacts with,attribute,
t0027,attribute,,interacts with,organism taxon,
t0028,attribute,,interacts with,event,
t0029,attribute,,associated with sensitivity to,molecular entity,
t0030,attribute,,associated with sensitivity to,chemical mixture,
t0031,attribute,,associated with sensitivity to,environmental food contaminant,
t0032,attribute,,associated with resistance to,molecular entity,
t0033,attribute,,associated with resistance to,chemical mixture,
t0034,attribute,,associated with resistance to,environmental food contaminant,
t0035,attribute,,correlated with,attribute,
t0036,attribute,,correlated with,organism taxon,
t0037,attribute,,correlated with,event,
t0038,attribute,,positively correlated with,attribute,
t0039,attribute,,positively correlated with,organism taxon,
t0040,attribute,,positively correlated with,event,
t0041,attribute,,negatively correlated with,attribute,
t0042,attribute,,negatively correlated with,organism taxon,
t0043,attribute,,negatively correlated with,event,
t0044,attribute,,occurs together in literature with,attribute,
t0045,attribute,,occurs together in literature with,organism taxon,
t0046,attribute,,occurs together in literature with,event,
t0047,attribute,,located in,attribute,
t0048,attribute,,located in,organism taxon,
t0049,attribute,,located in,event,
t0050,attribute,,location of,attribute,
t0051,attribute,,location of,organism taxon,
t0052,attribute,,location of,event,
t0053,attribute,,is input of,molecular activity,
t0054,attribute,,is input of,biological process,
t0055,attribute,,is output of,molecular activity,
t0056,attribute,,is output of,biological process,
t0057,attribute,,actively involved in,molecular activity,
t0058,attribute,,actively involved in,biological process,
t0059,attribute,,capable of,activity and behavior,
t0060,attribute,,capable of,phenomenon,
t0061,attribute,,capable of,environmental process,
t0062,attribute,,consumes,attribute,
t0063,attribute,,consumes,organism taxon,
t0064,attribute,,consumes,event,
t0065,attribute,,consumed by,attribute,
t0066,attribute,,consumed by,organism taxon,
t0067,attribute,,consumed by,event,
t0068,attribute,,is molecular consequence of,,
t0069,chemical role,,related to,attribute,
t0070,chemical role,,related to,organism taxon,
t0071,chemical role,,related to,event,
t0072,chemical role,,associated with,attribute,
t0073,chemical role,,associated with,organism taxon,
t0074,chemical role,,associated with,event,
t0075,chemical role,,superclass of,attribute,
t0076,chemical role,,superclass of,relationship type,
t0077,chemical role,,superclass of,taxonomic rank,
t0078,chemical role,,subclass of,attribute,
t0079,chemical role,,subclass of,relationship type,
t0080,chemical role,,subclass of,taxonomic rank,
t0081,chemical role,,assesses,attribute,
t0082,chemical role,,assesses,organism taxon,
t0083,chemical role,,assesses,event,
t0084,chemical role,,is assessed by,attribute,
t0085,chemical role,,is assessed by,organism taxon,
t0086,chemical role,,is assessed by,event,
